DoiT International;Santa Clara;CA;United States;True;200-500;369;510;0;False;None;{'__typename': 'FundingRound', 'id': 'd7f06985-6f89-4504-8fa1-d4a41437232b', 'fundingType': 'series_a'};None;b;startup;https://careers.doit.com/;['Analytics', 'Cloud', 'Data', 'Information Technology', 'IoT']
Apple;Cupertino;CA;United States;True;>10000;2922;180;0;False;None;None;None;u;established;https://www.apple.com/;['Computing', 'Consumer Goods', 'Electronics', 'Manufacturing', 'Mobile', 'Software', 'Technology', 'Computer Hardware']
Google;Mountain View;CA;United States;True;>10000;6334;427;0;False;None;{'__typename': 'FundingRound', 'id': 'e3be9e34-a271-4d1b-9dc7-1dcdef721591', 'fundingType': 'series_b'};None;u;established;https://google.com;['Messaging & Communication', 'Social Media', 'Video']
The Org;New York;NY;United States;True;10-50;2617;44;0;False;None;{'__typename': 'FundingRound', 'id': '150c0ae6-54cc-4389-aafa-3dad048058dd', 'fundingType': 'series_b'};None;b;startup;https://theorg.com/;['Human Resources', 'Internet', 'Productivity', 'Social Media']
Amazon;Arlington;VA;United States;True;>10000;5615;338;0;False;None;{'__typename': 'FundingRound', 'id': 'ca1c9971-8f8b-437e-ad70-1952534fc463', 'fundingType': 'series_c'};None;u;established;https://www.amazon.com/;['Cloud', 'E-Commerce', 'Enterprise Software', 'Freight', 'Logistics & Supply Chain', 'Shipping', 'Streaming', 'Transportation']
Microsoft;Redmond;WA;United States;True;>10000;3868;305;0;False;None;{'__typename': 'FundingRound', 'id': 'bd17564e-4c73-45dc-a71a-0ca65eae2d40', 'fundingType': 'seed'};None;u;established;https://www.microsoft.com;['Data', 'Enterprise Software', 'IT Management']
Twitter;San Francisco;CA;United States;True;5000-10000;944;45;0;False;None;{'__typename': 'FundingRound', 'id': '21bb38f4-219b-49eb-bdb6-aa64980ac5b7', 'fundingType': 'series_a'};None;u;established;https://twitter.com/;['Information Technology', 'Messaging & Communication', 'Platforms', 'Social Media', 'Social Networking', 'Technology']
Meta;Menlo Park;CA;United States;True;>10000;3045;194;0;False;None;{'__typename': 'FundingRound', 'id': '2e17b0af-a05e-4aca-9172-056ef8ffa157', 'fundingType': 'seed'};None;u;other;https://meta.com/;['AI/ML', 'Enterprise Software', 'Software', 'Support Services']
Nike;Beaverton;OR;United States;True;>10000;978;126;0;False;None;None;None;u;established;https://nike.com;['Apparel & Fashion', 'Consumer Goods', 'Retail', 'Sports']
Golden State Warriors;Oakland;CA;United States;True;500-1000;14;44;0;False;None;{'__typename': 'FundingRound', 'id': 'fe612ea5-f72f-4c48-aa9e-50eec1f68744', 'fundingType': 'funding_round'};None;u;None;http://warriors.com;['Sports']
