,Company site,Traded on,Revenue,Operating income,Net income,Total assets,Total equity
1,https://www.amazon.com,Nasdaq,US$513.98 billion,US$12.25 billion,US$−2.72 billion,US$462.68 billion,US$146.04 billion
2,https://www.microsoft.com,Nasdaq,US$198.3 billion,US$83.4 billion,US$72.7 billion,US$364.8 billion,US$166.5 billion
4,https://nike.com,NYSE,US$46.71 billion,US$6.86 billion,US$6.05 billion,US$40.32 billion,US$15.28 billion
5,https://spotify.com,NYSE,€11.7 billion,€-659 million,€–430 million,€7.6 billion,€2.4 billion
6,https://tesla.com,Nasdaq,US$81.46 billion,US$13.66 billion,US$12.56 billion,US$82.34 billion,US$44.70 billion
7,https://www.jpmorganchase.com,NYSE,US$132.2 billion,,US$37.67 billion,US$3.67 trillion,US$292.33 billion
9,https://thewaltdisneycompany.com,NYSE,US$82.722 billion,US$12.121 billion,US$3.145 billion,US$203.631 billion,US$98.879 billion
10,https://www.intel.com,Nasdaq,US$63.05 billion,US$2.33 billion,US$8.02 billion,US$182.1 billion,US$103.3 billion
11,https://www.citigroup.com,NYSE,US$75.34 billion,US$18.81 billion,US$14.85 billion,US$2.417 trillion,US$201.2 billion
12,https://www.coca-cola.com,NYSE,US$43.0 billion,US$10.9 billion,US$9.6 billion,US$92.7 billion,US25.8 billion
13,https://www.walmart.com,NYSE,US$611.3 billion,US$20.4 billion,US$11.29 billion,US$243.45 billion,US$83.754 billion
14,http://lululemon.com,Nasdaq,US$8.11 billion,US$1.33 billion,US$855 million,US$5.61 billion,US$3.15 billion
15,https://www.target.com,NYSE,US$109.1 billion,US$3.848 billion,US$2.780 billion,US$53.34 billion,US$11.23 billion
17,https://www.uber.com,NYSE,US$31.88 billion,-US$1.83 billion,−US$9.14 billion,US$32.11 billion,US$7.34 billion
18,https://www.salesforce.com,NYSE,US$31.35 billion,US$1.03 billion,US$208 million,US$98.85 billion,US$58.36 billion
19,http://www.mcdonalds.com,NYSE,US$23.223 billion,US$10.356 billion,US$7.545 billion,US$53.854 billion,−US$4.601 billion
20,https://www.pfizer.com,NYSE,US$100.3 billion,US$31.40 billion,US$31.37 billion,US$197.2 billion,US$95.66 billion
21,https://ford.com,NYSE,US$158.0 billion,US$6.3 billion,US$2.1 billion,US$255.9 billion,US$43.3 billion
22,https://shopify.com,TSX,US$5.6 billion,,US$-3.46 billion,US$10.76 billion,US$8.24 billion
23,https://www.gm.com,NYSE,US$156.74 billion,US$10.32 billion,US$9.71 billion,US$264.04 billion,US$71.93 billion
24,https://www.marriott.com,Nasdaq,US$13.86 billion,US$1.75 billion,US$1.10 billion,US$25.55 billion,US$1.41 billion
25,https://pepsico.com,Nasdaq,US$86.4 billion,US$11.5 billion,US$8.91 billion,US$92.2 billion,US$17.3 billion
26,http://www.goldmansachs.com,NYSE,US$47.37 billion,US$13.48 billion,US$11.26 billion,US$1.44 trillion,US$117.2 billion
27,https://ibm.com,NYSE,US$60.53 billion,US$1.78 billion,US$1.63 billion,US$127.24 billion,US$22.02 billion
28,http://www.boeing.com,NYSE,US$66.61 billion,US$−3.55 billion,US$−5.05 billion,US$137.1 billion,US$−15.85 billion
29,https://www.infosys.com,BSE,US$19 billion,US$4.2 billion,US$3.0 billion,US$16 billion,US$9.5 billion
30,https://www.cvshealth.com,NYSE,US$322.5 billion,US$7.75 billion,US$4.17 billion,US$228.3 billion,US$71.32 billion
32,http://www.ge.com,NYSE,US$76.56 billion,US$1.41 billion,US$292 million,US$187.8 billion,US$36.37 billion
